time,mode,aspd,gspd,lat,lon,r,p,y,alt,navr,navp,navy,navalt,navspeed,hdop,sat,turn,bearing,rad,latacc,climb,srv0,srv1,srv2,srv3,lmt0,lmt1
1679117908371,FBWA,7.61,10.49,-7.76632022857666,110.2340087890625,0.68,-7.2,204.96,24.2,-0.22,-2.98,45.0,80.0,17.0,0.53,12.0,88.72,208.58,42.86,0.48,0.48,1289,1600,1434,1000,0.0,1.0
1679117908403,FBWA,7.52,10.23,-7.76632022857666,110.2340087890625,0.88,-5.83,205.41,23.97,-0.22,-3.07,45.0,80.0,17.0,0.53,12.0,88.72,208.58,42.86,0.44,0.44,1555,1577,1511,1000,0.0,1.0
1679117908525,FBWA,7.56,10.78,-7.76632022857666,110.2340087890625,0.22,-6.07,205.94,23.76,-0.22,-3.39,45.0,80.0,17.0,0.53,12.0,88.72,208.58,42.86,0.4,0.4,1323,1622,1445,1000,0.0,1.0
1679117908564,FBWA,7.49,10.26,-7.76632022857666,110.2340087890625,0.96,-6.53,206.48,23.5,-0.11,-4.41,45.0,80.0,17.0,0.53,12.0,88.72,208.58,42.86,0.32,0.32,1611,1588,1533,1000,0.0,1.0
1679117908765,FBWA,7.56,10.87,-7.76632022857666,110.2340087890625,-0.32,-6.57,206.35,23.2,-0.22,-6.46,45.0,80.0,17.0,0.53,12.0,88.72,208.58,42.86,0.27,0.27,1389,1500,1467,1000,0.0,1.0
1679117908802,FBWA,7.41,9.86,-7.76632022857666,110.2340087890625,0.24,-7.09,207.14,22.94,-0.22,-6.85,45.0,80.0,17.0,0.53,12.0,88.72,208.58,42.86,0.26,0.26,1566,1533,1511,1000,0.0,1.0
1679117908998,FBWA,7.47,10.76,-7.76632022857666,110.2340087890625,-0.27,-8.25,206.85,22.72,-0.11,-5.41,45.0,80.0,17.0,0.53,12.0,88.72,208.58,42.86,0.18,0.18,1434,1633,1489,1000,0.0,1.0
1679117909058,FBWA,7.54,10.89,-7.7664055824279785,110.23395538330078,1.03,-8.7,206.37,22.46,-0.22,-3.24,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,0.16,0.16,1489,1655,1500,1000,0.0,1.0
1679117909089,FBWA,7.74,11.61,-7.7664055824279785,110.23395538330078,0.39,-6.53,206.01,22.19,-0.11,-4.51,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,0.24,0.24,1378,1500,1467,1000,0.0,1.0
1679117909289,FBWA,7.67,10.46,-7.7664055824279785,110.23395538330078,1.69,-4.96,207.04,21.87,-0.22,-6.8,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,0.26,0.26,1467,1445,1489,1000,0.0,1.0
1679117909290,FBWA,7.83,11.5,-7.7664055824279785,110.23395538330078,-0.76,-6.41,207.56,21.6,-0.22,-6.32,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,0.15,0.15,1666,1544,1544,1000,0.0,1.0
1679117909541,FBWA,7.82,10.86,-7.7664055824279785,110.23395538330078,1.17,-7.53,209.26,21.28,-0.22,-2.15,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,0.07,0.07,1145,1688,1400,1000,0.0,1.0
1679117909541,FBWA,7.76,10.56,-7.7664055824279785,110.23395538330078,0.19,-5.8,208.89,20.99,-0.22,-0.29,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,-0.14,-0.14,1766,1622,1577,1000,0.0,1.0
1679117909683,FBWA,7.82,11.09,-7.7664055824279785,110.23395538330078,0.35,-3.98,210.76,20.72,-0.11,-0.15,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,-0.1,-0.1,1178,1600,1400,1000,0.0,1.0
1679117909752,FBWA,7.76,10.59,-7.7664055824279785,110.23395538330078,1.35,-3.45,211.83,20.48,-0.22,0.0,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,-0.33,-0.33,1566,1611,1522,1000,0.0,1.0
1679117909753,FBWA,7.85,11.24,-7.7664055824279785,110.23395538330078,-0.45,-3.19,212.46,20.21,-0.27,0.0,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,-0.49,-0.49,1500,1588,1500,1000,0.0,1.0
1679117909985,FBWA,7.73,10.33,-7.7664055824279785,110.23395538330078,1.44,-2.92,213.39,19.93,-0.49,0.0,45.0,80.0,17.0,0.53,12.0,88.72,208.13,42.86,-0.53,-0.53,1356,1600,1467,1000,0.0,1.0
1679117910074,FBWA,7.92,11.73,-7.766491889953613,110.2339096069336,-0.37,-3.16,211.69,19.65,-4.5,0.09,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-0.81,-0.81,1566,1622,1511,1000,0.0,1.0
1679117910153,FBWA,8.04,11.59,-7.766491889953613,110.2339096069336,-0.58,-3.4,212.01,19.37,-10.76,0.09,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-0.57,-0.57,1134,1611,1400,1000,0.0,1.0
1679117910190,FBWA,8.22,11.97,-7.766491889953613,110.2339096069336,-3.46,-3.02,210.44,19.05,-23.21,0.49,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-0.64,-0.64,1234,1600,1423,1000,0.0,1.0
1679117910386,FBWA,8.56,12.96,-7.766491889953613,110.2339096069336,-7.42,-2.55,210.61,18.74,-17.18,0.21,45.0,80.0,17.0,0.53,12.0,88.72,207.47,42.86,-0.45,-0.45,1611,1600,1522,1000,0.0,1.0
