time,mode,aspd,gspd,lat,lon,r,p,y,alt,navr,navp,navy,navalt,navspeed,hdop,sat,turn,bearing,rad,latacc,climb,srv0,srv1,srv2,srv3,lmt0,lmt1
1679107573897,FBWA,0.0,0.01,-7.766875267028809,110.2335205078125,0.08,4.67,188.43,-1.08,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107573998,FBWA,0.0,0.01,-7.766875267028809,110.2335205078125,0.08,4.68,188.64,-1.07,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107574051,FBWA,0.0,0.01,-7.766875267028809,110.2335205078125,0.08,4.67,188.21,-1.06,0.0,0.0,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107574188,FBWA,0.0,0.01,-7.766875267028809,110.2335205078125,0.07,4.69,188.37,-1.07,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107574189,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.07,4.67,188.49,-1.05,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107574360,FBWA,0.0,0.01,-7.766876220703125,110.2335205078125,0.08,4.68,188.4,-1.05,0.0,0.0,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107574481,FBWA,0.0,0.01,-7.766876220703125,110.2335205078125,0.08,4.68,188.47,-1.08,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107574587,FBWA,0.0,0.01,-7.766876220703125,110.2335205078125,0.08,4.67,188.67,-1.07,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107574624,FBWA,0.0,0.01,-7.766876220703125,110.2335205078125,0.06,4.68,188.77,-1.09,-0.11,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107574776,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.08,4.69,188.28,-1.1,0.0,0.0,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107574808,FBWA,0.0,0.01,-7.766876220703125,110.2335205078125,0.08,4.69,188.15,-1.1,0.0,0.0,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575008,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.09,4.68,188.54,-1.11,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575041,FBWA,0.0,0.01,-7.766876220703125,110.2335205078125,0.11,4.68,188.21,-1.11,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575080,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.1,4.68,188.25,-1.13,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575316,FBWA,0.0,0.05,-7.766876697540283,110.2335205078125,0.11,4.68,188.47,-1.16,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575434,FBWA,0.0,0.06,-7.766876697540283,110.2335205078125,0.09,4.69,188.41,-1.17,0.0,0.03,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575514,FBWA,0.0,0.05,-7.766876697540283,110.2335205078125,0.1,4.68,188.56,-1.17,0.0,0.03,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575583,FBWA,0.0,0.05,-7.766876697540283,110.2335205078125,0.1,4.68,188.39,-1.18,0.0,0.03,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575583,FBWA,0.0,0.06,-7.766876697540283,110.2335205078125,0.09,4.68,188.45,-1.17,0.0,0.03,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575812,FBWA,0.0,0.05,-7.766876697540283,110.2335205078125,0.09,4.68,188.71,-1.19,0.0,0.03,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575901,FBWA,0.0,0.06,-7.766876697540283,110.2335205078125,0.1,4.68,188.57,-1.19,0.0,0.03,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107575981,FBWA,0.0,0.0,-7.766876697540283,110.2335205078125,0.08,4.74,188.58,-1.2,0.0,0.03,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.07,0.07,1500,1400,1500,1000,0.0,1.0
1679107576099,FBWA,0.02,0.23,-7.766876697540283,110.2335205078125,0.11,4.73,188.66,-1.2,0.0,0.03,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.16,0.16,1500,1412,1500,1000,0.0,1.0
1679107576275,FBWA,0.02,0.0,-7.766876697540283,110.2335205078125,0.07,4.73,188.23,-1.21,0.0,0.0,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107576276,FBWA,0.03,0.17,-7.766876697540283,110.2335205078125,0.14,4.72,188.52,-1.21,0.0,0.03,45.0,0.0,0.0,0.78,11.0,0.0,274.04,0.0,0.12,0.12,1500,1412,1500,1000,0.0,1.0
1679107576276,FBWA,0.02,0.0,-7.766876697540283,110.2335205078125,0.11,4.76,188.51,-1.23,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.07,0.07,1500,1400,1500,1000,0.0,1.0
1679107576506,FBWA,0.02,0.15,-7.766876697540283,110.2335205078125,0.12,4.73,188.6,-1.22,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.1,0.1,1500,1412,1500,1000,0.0,1.0
1679107576554,FBWA,0.02,0.11,-7.766876697540283,110.2335205078125,0.12,4.69,188.48,-1.21,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.08,0.08,1500,1412,1500,1000,0.0,1.0
1679107576671,FBWA,0.01,0.06,-7.766876697540283,110.2335205078125,0.1,4.75,188.56,-1.19,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107576708,FBWA,0.01,0.12,-7.766876697540283,110.2335205078125,0.09,4.69,188.47,-1.18,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.08,0.08,1500,1412,1500,1000,0.0,1.0
1679107576905,FBWA,0.01,0.13,-7.766876697540283,110.2335205078125,0.09,4.75,188.21,-1.2,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.09,0.09,1500,1412,1500,1000,0.0,1.0
1679107577022,FBWA,0.01,0.11,-7.766876697540283,110.2335205078125,0.08,4.69,188.17,-1.18,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107577093,FBWA,0.01,0.09,-7.766876697540283,110.2335205078125,0.1,4.72,188.73,-1.19,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107577125,FBWA,0.01,0.12,-7.766876697540283,110.2335205078125,0.08,4.72,188.44,-1.18,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.08,0.08,1500,1412,1500,1000,0.0,1.0
1679107577327,FBWA,0.01,0.01,-7.766876220703125,110.2335205078125,0.1,4.71,188.15,-1.18,0.0,0.03,45.0,0.0,0.0,0.74,11.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107577397,FBWA,0.0,0.01,-7.766876220703125,110.2335205078125,0.11,4.7,188.32,-1.2,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107577517,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.1,4.71,188.5,-1.18,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107577598,FBWA,0.0,0.03,-7.766876220703125,110.2335205078125,0.1,4.72,188.59,-1.16,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107577635,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.09,4.7,188.29,-1.16,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107577783,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.09,4.71,188.32,-1.17,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107577815,FBWA,0.0,0.03,-7.766876220703125,110.2335205078125,0.09,4.71,188.54,-1.17,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578022,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.09,4.71,188.54,-1.16,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578053,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.1,4.7,188.51,-1.16,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578170,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.1,4.7,188.57,-1.16,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578274,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.11,4.72,188.51,-1.17,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578318,FBWA,0.0,0.03,-7.766876220703125,110.2335205078125,0.09,4.72,188.27,-1.16,0.0,0.0,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578484,FBWA,0.0,0.03,-7.766876220703125,110.2335205078125,0.09,4.72,188.26,-1.18,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578500,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.09,4.72,188.73,-1.17,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578705,FBWA,0.0,0.03,-7.766876220703125,110.2335205078125,0.09,4.72,188.47,-1.16,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578737,FBWA,0.0,0.02,-7.766876220703125,110.2335205078125,0.1,4.71,188.42,-1.16,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578780,FBWA,0.0,0.04,-7.766876220703125,110.2335205078125,0.11,4.7,188.43,-1.15,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107578993,FBWA,0.0,0.03,-7.766876220703125,110.2335205078125,0.09,4.7,188.01,-1.15,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
1679107579138,FBWA,0.0,0.03,-7.766876220703125,110.2335205078125,0.09,4.71,188.38,-1.14,0.0,0.03,45.0,0.0,0.0,0.71,12.0,0.0,274.04,0.0,0.07,0.07,1500,1412,1500,1000,0.0,1.0
