time,mode,aspd,gspd,lat,lon,r,p,y,alt,navr,navp,navy,navalt,navspeed,hdop,sat,turn,bearing,rad,latacc,climb,srv0,srv1,srv2,srv3,lmt0,lmt1
1679126905688,MANU,0.79,1.0,-7.766487121582031,110.23348236083984,33.78,-29.74,272.43,-3.33,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.87,0.66,-0.68,-0.68,1500,1500,1497,1000,0.0,1.0
1679126905837,MANU,0.81,1.02,-7.766487121582031,110.23348236083984,34.46,-31.09,273.71,-3.32,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.87,0.66,-0.68,-0.68,1500,1500,1498,1000,0.0,1.0
1679126905908,MANU,0.85,1.09,-7.766487121582031,110.23348236083984,35.27,-30.32,273.63,-3.32,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.87,0.66,-0.74,-0.74,1500,1500,1497,1000,0.0,1.0
1679126905989,MANU,0.88,1.1,-7.766487121582031,110.23348236083984,34.65,-29.17,274.59,-3.32,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.87,0.66,-0.74,-0.74,1500,1500,1497,1000,0.0,1.0
1679126906094,MANU,0.88,1.03,-7.766487121582031,110.23348236083984,33.64,-28.96,274.64,-3.3,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.87,0.66,-0.69,-0.69,1500,1500,1497,1000,0.0,1.0
1679126906170,MANU,0.88,0.97,-7.766487121582031,110.23348236083984,33.36,-29.62,273.77,-3.3,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.87,0.66,-0.65,-0.65,1500,1500,1498,1000,0.0,1.0
1679126906170,MANU,0.86,0.92,-7.766494274139404,110.23348236083984,34.23,-30.52,270.88,-3.29,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.62,-0.62,1500,1500,1497,1000,0.0,1.0
1679126906405,MANU,0.86,0.95,-7.766494274139404,110.23348236083984,36.03,-30.39,267.05,-3.3,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.64,-0.64,1500,1500,1497,1000,0.0,1.0
1679126906453,MANU,0.85,0.92,-7.766494274139404,110.23348236083984,35.7,-29.59,264.46,-3.32,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.62,-0.62,1500,1500,1497,1000,0.0,1.0
1679126906554,MANU,0.85,0.94,-7.766494274139404,110.23348236083984,35.4,-28.86,263.03,-3.32,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.64,-0.64,1500,1500,1497,1000,0.0,1.0
1679126906607,MANU,0.84,0.93,-7.766494274139404,110.23348236083984,35.0,-28.89,261.87,-3.31,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.63,-0.63,1500,1500,1498,1000,0.0,1.0
1679126906804,MANU,0.85,1.0,-7.766494274139404,110.23348236083984,34.24,-29.71,261.71,-3.31,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.68,-0.68,1500,1500,1498,1000,0.0,1.0
1679126906921,MANU,0.85,0.97,-7.766494274139404,110.23348236083984,34.11,-30.03,259.53,-3.31,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.65,-0.65,1500,1500,1498,1000,0.0,1.0
1679126906990,MANU,0.81,0.77,-7.766494274139404,110.23348236083984,33.57,-29.52,257.45,-3.32,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.52,-0.52,1500,1500,1497,1000,0.0,1.0
1679126907007,MANU,0.77,0.73,-7.766494274139404,110.23348236083984,31.93,-29.6,256.2,-3.32,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.49,-0.49,1500,1500,1497,1000,0.0,1.0
1679126907236,MANU,0.79,0.95,-7.766494274139404,110.23348236083984,30.6,-30.38,254.27,-3.32,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,140.22,0.66,-0.64,-0.64,1500,1500,1498,1000,0.0,1.0
1679126907304,MANU,0.84,1.15,-7.766503810882568,110.23347473144531,30.6,-31.08,251.5,-3.32,0.0,0.0,45.0,80.0,17.0,0.6,12.0,-114.76,137.96,0.66,-0.78,-0.78,1500,1500,1498,1000,0.0,1.0
1679126907304,MANU,0.86,1.03,-7.766503810882568,110.23347473144531,32.0,-30.72,247.54,-3.31,0.0,0.0,45.0,80.0,17.0,0.56,12.0,-114.76,137.96,0.66,-0.69,-0.69,1500,1500,1497,1000,0.0,1.0
1679126907501,MANU,0.85,0.84,-7.766503810882568,110.23347473144531,32.58,-29.14,244.14,-3.33,0.0,0.0,45.0,80.0,17.0,0.56,12.0,-114.76,137.96,0.66,-0.56,-0.56,1500,1500,1497,1000,0.0,1.0
1679126907618,MANU,0.89,1.11,-7.766503810882568,110.23347473144531,30.98,-27.34,242.91,-3.33,0.0,0.0,45.0,80.0,17.0,0.56,12.0,-114.76,137.96,0.66,-0.75,-0.75,1500,1500,1497,1000,0.0,1.0
1679126907686,MANU,0.93,1.13,-7.766503810882568,110.23347473144531,29.34,-26.4,244.26,-3.33,0.0,0.0,45.0,80.0,17.0,0.56,12.0,-114.76,137.96,0.66,-0.76,-0.76,1500,1500,1498,1000,0.0,1.0
1679126907702,MANU,0.98,1.2,-7.766503810882568,110.23347473144531,27.61,-27.2,246.55,-3.33,0.0,0.0,45.0,80.0,17.0,0.56,12.0,-114.76,137.96,0.66,-0.81,-0.81,1500,1500,1497,1000,0.0,1.0
1679126907883,MANU,1.05,1.36,-7.766503810882568,110.23347473144531,25.96,-28.88,249.05,-3.34,0.0,0.0,45.0,80.0,17.0,0.56,12.0,-114.76,137.96,0.66,-0.91,-0.91,1500,1500,1498,1000,0.0,1.0
